Step,Description,RewardChange
40,Have an Army,2
40,Balanced forces bonus,5
40,Perfect amount of miners,10
41,Have an Army,2
41,Balanced forces bonus,5
42,Have an Army,2
42,Balanced forces bonus,5
43,Have an Army,2
43,Balanced forces bonus,5
44,Have an Army,2
44,Balanced forces bonus,5
45,Have an Army,2
45,Balanced forces bonus,5
46,Have an Army,2
46,Balanced forces bonus,5
47,Have an Army,2
47,Balanced forces bonus,5
48,Have an Army,2
48,Balanced forces bonus,5
49,Have an Army,2
49,Balanced forces bonus,5
50,Have an Army,2
50,Balanced forces bonus,5
51,Have an Army,2
51,Balanced forces bonus,5
52,Have an Army,2
52,Imbalanced forces penalty,-5
53,Have an Army,2
53,Imbalanced forces penalty,-5
54,Enemy tower health reduced,8.333333
54,Have an Army,2
54,Imbalanced forces penalty,-5
55,Enemy tower health reduced,8.333333
55,Have an Army,2
55,Imbalanced forces penalty,-5
56,Enemy tower health reduced,8.333333
56,Have an Army,2
56,Imbalanced forces penalty,-5
57,Enemy tower health reduced,16.66667
57,Have an Army,2
57,Imbalanced forces penalty,-5
58,Lost units,-2
58,Have an Army,2
58,Balanced forces bonus,5
59,Enemy tower health reduced,8.333333
59,Have an Army,2
59,Balanced forces bonus,5
60,Have an Army,2
60,Imbalanced forces penalty,-5
60,Perfect amount of miners,10
60,Gold < 1000 and active gatherers,2
61,Enemy tower health reduced,8.333333
61,Have an Army,2
61,Imbalanced forces penalty,-5
62,Enemy tower health reduced,8.333333
62,Have an Army,2
62,Imbalanced forces penalty,-5
63,Have an Army,2
63,Imbalanced forces penalty,-5
64,Enemy tower health reduced,8.333333
64,Have an Army,2
64,Imbalanced forces penalty,-5
65,Lost units,-2
65,Enemy tower health reduced,8.333333
65,Have an Army,2
65,Balanced forces bonus,5
66,Have an Army,2
66,Balanced forces bonus,5
67,Have an Army,2
67,Balanced forces bonus,5
68,Have an Army,2
68,Imbalanced forces penalty,-5
69,Have an Army,2
69,Imbalanced forces penalty,-5
70,Have an Army,2
70,Imbalanced forces penalty,-5
71,Have an Army,2
71,Imbalanced forces penalty,-5
72,Have an Army,2
72,Imbalanced forces penalty,-5
73,Have an Army,2
73,Imbalanced forces penalty,-5
74,Have an Army,2
74,Imbalanced forces penalty,-5
75,Enemy tower health reduced,8.333333
75,Enemy Tower Damaged Bonus,50
75,Have an Army,2
75,Imbalanced forces penalty,-5
76,Enemy tower health reduced,8.333333
76,Have an Army,2
76,Imbalanced forces penalty,-5
77,Have an Army,2
77,Imbalanced forces penalty,-5
78,Enemy tower health reduced,8.333333
78,Have an Army,2
78,Imbalanced forces penalty,-5
79,Have an Army,2
79,Imbalanced forces penalty,-5
80,Have an Army,2
80,Imbalanced forces penalty,-5
80,Perfect amount of miners,10
81,Have an Army,2
81,Imbalanced forces penalty,-5
82,Have an Army,2
82,Imbalanced forces penalty,-5
83,Have an Army,2
83,Imbalanced forces penalty,-5
84,Lost units,-2
84,Have an Army,2
84,Balanced forces bonus,5
85,Have an Army,2
85,Balanced forces bonus,5
86,Have an Army,2
86,Balanced forces bonus,5
87,Have an Army,2
87,Balanced forces bonus,5
88,Have an Army,2
88,Balanced forces bonus,5
89,Have an Army,2
89,Balanced forces bonus,5
90,Have an Army,2
90,Balanced forces bonus,5
90,Gold < 1000 and active gatherers,2
91,Lost units,-2
91,Have an Army,2
91,Balanced forces bonus,5
92,Have an Army,2
92,Balanced forces bonus,5
93,Have an Army,2
93,Balanced forces bonus,5
94,Have an Army,2
94,Balanced forces bonus,5
95,Have an Army,2
95,Balanced forces bonus,5
96,Have an Army,2
96,Balanced forces bonus,5
97,Lost units,-2
97,Have an Army,2
97,Balanced forces bonus,5
98,Have an Army,2
98,Balanced forces bonus,5
99,Have an Army,2
99,Balanced forces bonus,5
100,Have an Army,2
100,Balanced forces bonus,5
100,Perfect amount of miners,10
101,Have an Army,2
101,Balanced forces bonus,5
102,Have an Army,2
102,Balanced forces bonus,5
103,Have an Army,2
103,Balanced forces bonus,5
104,Lost units,-2
104,Have an Army,2
104,Balanced forces bonus,5
105,Have an Army,2
105,Balanced forces bonus,5
106,Have an Army,2
106,Balanced forces bonus,5
107,Have an Army,2
107,Balanced forces bonus,5
108,Have an Army,2
108,Balanced forces bonus,5
109,Have an Army,2
109,Balanced forces bonus,5
110,Have an Army,2
110,Balanced forces bonus,5
111,Have an Army,2
111,Balanced forces bonus,5
112,Have an Army,2
112,Balanced forces bonus,5
113,Have an Army,2
113,Balanced forces bonus,5
114,Have an Army,2
114,Balanced forces bonus,5
115,Have an Army,2
115,Balanced forces bonus,5
116,Have an Army,2
116,Balanced forces bonus,5
117,Have an Army,2
117,Balanced forces bonus,5
118,Have an Army,2
118,Imbalanced forces penalty,-5
119,Lost units,-2
119,Enemy unit loss,2
119,Have an Army,2
119,Balanced forces bonus,5
120,Have an Army,2
120,Balanced forces bonus,5
120,Perfect amount of miners,10
120,Gold < 1000 and active gatherers,2
121,Have an Army,2
121,Balanced forces bonus,5
122,Have an Army,2
122,Balanced forces bonus,5
123,Have an Army,2
123,Balanced forces bonus,5
124,Have an Army,2
124,Balanced forces bonus,5
125,Have an Army,2
125,Balanced forces bonus,5
126,Have an Army,2
126,Balanced forces bonus,5
127,Have an Army,2
127,Balanced forces bonus,5
128,Have an Army,2
128,Balanced forces bonus,5
129,Have an Army,2
129,Balanced forces bonus,5
130,Have an Army,2
130,Balanced forces bonus,5
131,Lost units,-2
131,Have an Army,2
131,Balanced forces bonus,5
132,Have an Army,2
132,Balanced forces bonus,5
133,Have an Army,2
133,Balanced forces bonus,5
134,Have an Army,2
134,Balanced forces bonus,5
135,Have an Army,2
135,Balanced forces bonus,5
136,Have an Army,2
136,Balanced forces bonus,5
137,Have an Army,2
137,Balanced forces bonus,5
138,Have an Army,2
138,Balanced forces bonus,5
139,Have an Army,2
139,Imbalanced forces penalty,-5
140,Have an Army,2
140,Imbalanced forces penalty,-5
140,Perfect amount of miners,10
141,Have an Army,2
141,Imbalanced forces penalty,-5
142,Have an Army,2
142,Imbalanced forces penalty,-5
143,Have an Army,2
143,Imbalanced forces penalty,-5
144,Have an Army,2
144,Imbalanced forces penalty,-5
145,Have an Army,2
145,Imbalanced forces penalty,-5
146,Lost units,-2
146,Enemy unit loss,2
146,Have an Army,2
146,Balanced forces bonus,5
147,Have an Army,2
147,Balanced forces bonus,5
148,Lost units,-2
148,Have an Army,2
148,Balanced forces bonus,5
149,Have an Army,2
149,Balanced forces bonus,5
150,Have an Army,2
150,Balanced forces bonus,5
150,Gold < 1000 and active gatherers,2
151,Have an Army,2
151,Balanced forces bonus,5
152,Have an Army,2
152,Balanced forces bonus,5
153,Have an Army,2
153,Balanced forces bonus,5
154,Have an Army,2
154,Balanced forces bonus,5
155,Have an Army,2
155,Balanced forces bonus,5
156,Have an Army,2
156,Balanced forces bonus,5
157,Lost units,-2
157,Have an Army,2
157,Balanced forces bonus,5
158,Have an Army,2
158,Balanced forces bonus,5
159,Have an Army,2
159,Balanced forces bonus,5
160,Lost units,-2
160,Have an Army,2
160,Imbalanced forces penalty,-5
160,Perfect amount of miners,10
161,Have an Army,2
161,Imbalanced forces penalty,-5
162,Have an Army,2
162,Imbalanced forces penalty,-5
163,Have an Army,2
163,Balanced forces bonus,5
164,Have an Army,2
164,Balanced forces bonus,5
165,Have an Army,2
165,Balanced forces bonus,5
166,Have an Army,2
166,Balanced forces bonus,5
167,Have an Army,2
167,Balanced forces bonus,5
168,Have an Army,2
168,Balanced forces bonus,5
169,Have an Army,2
169,Balanced forces bonus,5
170,Have an Army,2
170,Balanced forces bonus,5
171,Have an Army,2
171,Balanced forces bonus,5
172,Have an Army,2
172,Balanced forces bonus,5
173,Have an Army,2
173,Balanced forces bonus,5
174,Have an Army,2
174,Balanced forces bonus,5
175,Have an Army,2
175,Balanced forces bonus,5
176,Have an Army,2
176,Balanced forces bonus,5
177,Have an Army,2
177,Balanced forces bonus,5
178,Have an Army,2
178,Balanced forces bonus,5
179,Have an Army,2
179,Balanced forces bonus,5
180,Have an Army,2
180,Balanced forces bonus,5
180,Perfect amount of miners,10
180,Gold < 1000 and active gatherers,2
181,Have an Army,2
181,Balanced forces bonus,5
182,Have an Army,2
182,Imbalanced forces penalty,-5
183,Have an Army,2
183,Imbalanced forces penalty,-5
184,Have an Army,2
184,Imbalanced forces penalty,-5
185,Have an Army,2
185,Imbalanced forces penalty,-5
186,Have an Army,2
186,Imbalanced forces penalty,-5
187,Lost units,-2
187,Have an Army,2
187,Balanced forces bonus,5
188,Have an Army,2
188,Balanced forces bonus,5
189,Have an Army,2
189,Balanced forces bonus,5
190,Have an Army,2
190,Balanced forces bonus,5
191,Have an Army,2
191,Balanced forces bonus,5
192,Lost units,-2
192,Have an Army,2
192,Balanced forces bonus,5
193,Have an Army,2
193,Balanced forces bonus,5
194,Have an Army,2
194,Balanced forces bonus,5
195,Have an Army,2
195,Balanced forces bonus,5
196,Have an Army,2
196,Balanced forces bonus,5
197,Have an Army,2
197,Balanced forces bonus,5
198,Have an Army,2
198,Balanced forces bonus,5
199,Have an Army,2
199,Balanced forces bonus,5
200,Have an Army,2
200,Balanced forces bonus,5
200,Perfect amount of miners,10
201,Have an Army,2
201,Balanced forces bonus,5
202,Have an Army,2
202,Balanced forces bonus,5
203,Have an Army,2
203,Balanced forces bonus,5
204,Lost units,-2
204,Have an Army,2
204,Balanced forces bonus,5
205,Have an Army,2
205,Balanced forces bonus,5
206,Have an Army,2
206,Balanced forces bonus,5
207,Have an Army,2
207,Balanced forces bonus,5
208,Enemy unit loss,2
208,Have an Army,2
208,Balanced forces bonus,5
209,Lost units,-2
209,Have an Army,2
209,Balanced forces bonus,5
210,Have an Army,2
210,Balanced forces bonus,5
210,Gold < 1000 and active gatherers,2
211,Have an Army,2
211,Balanced forces bonus,5
212,Have an Army,2
212,Balanced forces bonus,5
213,Have an Army,2
213,Balanced forces bonus,5
214,Have an Army,2
214,Balanced forces bonus,5
215,Have an Army,2
215,Balanced forces bonus,5
216,Have an Army,2
216,Balanced forces bonus,5
217,Have an Army,2
217,Balanced forces bonus,5
218,Have an Army,2
218,Balanced forces bonus,5
219,Have an Army,2
219,Balanced forces bonus,5
220,Have an Army,2
220,Balanced forces bonus,5
220,Perfect amount of miners,10
221,Have an Army,2
221,Balanced forces bonus,5
222,Lost units,-2
222,Have an Army,2
222,Balanced forces bonus,5
223,Have an Army,2
223,Balanced forces bonus,5
224,Have an Army,2
224,Balanced forces bonus,5
225,Have an Army,2
225,Balanced forces bonus,5
226,Have an Army,2
226,Balanced forces bonus,5
227,Have an Army,2
227,Balanced forces bonus,5
228,Have an Army,2
228,Balanced forces bonus,5
229,Have an Army,2
229,Balanced forces bonus,5
230,Have an Army,2
230,Balanced forces bonus,5
231,Have an Army,2
231,Balanced forces bonus,5
232,Have an Army,2
232,Balanced forces bonus,5
233,Have an Army,2
233,Balanced forces bonus,5
234,Have an Army,2
234,Balanced forces bonus,5
235,Have an Army,2
235,Imbalanced forces penalty,-5
236,Have an Army,2
236,Imbalanced forces penalty,-5
237,Have an Army,2
237,Imbalanced forces penalty,-5
238,Have an Army,2
238,Imbalanced forces penalty,-5
239,Have an Army,2
239,Imbalanced forces penalty,-5
240,Have an Army,2
240,Imbalanced forces penalty,-5
240,Perfect amount of miners,10
240,Gold < 1000 and active gatherers,2
241,Lost units,-2
241,Have an Army,2
241,Balanced forces bonus,5
242,Have an Army,2
242,Balanced forces bonus,5
243,Have an Army,2
243,Balanced forces bonus,5
244,Have an Army,2
244,Balanced forces bonus,5
245,Lost units,-2
245,Have an Army,2
245,Balanced forces bonus,5
246,Have an Army,2
246,Balanced forces bonus,5
247,Have an Army,2
247,Balanced forces bonus,5
248,Have an Army,2
248,Balanced forces bonus,5
249,Have an Army,2
249,Balanced forces bonus,5
250,Have an Army,2
250,Balanced forces bonus,5
251,Have an Army,2
251,Balanced forces bonus,5
252,Have an Army,2
252,Imbalanced forces penalty,-5
253,Have an Army,2
253,Imbalanced forces penalty,-5
254,Have an Army,2
254,Imbalanced forces penalty,-5
255,Have an Army,2
255,Imbalanced forces penalty,-5
256,Have an Army,2
256,Imbalanced forces penalty,-5
257,Have an Army,2
257,Imbalanced forces penalty,-5
258,Have an Army,2
258,Imbalanced forces penalty,-5
259,Have an Army,2
259,Imbalanced forces penalty,-5
260,Have an Army,2
260,Imbalanced forces penalty,-5
260,Perfect amount of miners,10
261,Have an Army,2
261,Imbalanced forces penalty,-5
262,Enemy tower health reduced,8.333333
262,Have an Army,2
262,Imbalanced forces penalty,-5
263,Lost units,-2
263,Have an Army,2
263,Balanced forces bonus,5
264,Have an Army,2
264,Balanced forces bonus,5
265,Have an Army,2
265,Balanced forces bonus,5
266,Have an Army,2
266,Balanced forces bonus,5
267,Lost units,-2
267,Have an Army,2
267,Balanced forces bonus,5
268,Have an Army,2
268,Balanced forces bonus,5
269,Have an Army,2
269,Balanced forces bonus,5
270,Have an Army,2
270,Balanced forces bonus,5
270,Gold < 1000 and active gatherers,2
271,Have an Army,2
271,Balanced forces bonus,5
272,Have an Army,2
272,Balanced forces bonus,5
273,Have an Army,2
273,Balanced forces bonus,5
274,Lost units,-2
274,Have an Army,2
274,Balanced forces bonus,5
275,Have an Army,2
275,Balanced forces bonus,5
276,Have an Army,2
276,Balanced forces bonus,5
277,Lost units,-2
277,Have an Army,2
277,Balanced forces bonus,5
278,Have an Army,2
278,Balanced forces bonus,5
279,Have an Army,2
279,Balanced forces bonus,5
280,Have an Army,2
280,Balanced forces bonus,5
280,Perfect amount of miners,10
281,Have an Army,2
281,Balanced forces bonus,5
282,Have an Army,2
282,Balanced forces bonus,5
283,Have an Army,2
283,Balanced forces bonus,5
284,Have an Army,2
284,Balanced forces bonus,5
285,Have an Army,2
285,Balanced forces bonus,5
286,Have an Army,2
286,Balanced forces bonus,5
287,Have an Army,2
287,Balanced forces bonus,5
288,Lost units,-2
288,Have an Army,2
288,Balanced forces bonus,5
289,Have an Army,2
289,Balanced forces bonus,5
290,Have an Army,2
290,Balanced forces bonus,5
291,Have an Army,2
291,Balanced forces bonus,5
292,Lost units,-2
292,Have an Army,2
292,Imbalanced forces penalty,-5
293,Have an Army,2
293,Imbalanced forces penalty,-5
294,Have an Army,2
294,Imbalanced forces penalty,-5
295,Have an Army,2
295,Imbalanced forces penalty,-5
296,Have an Army,2
296,Imbalanced forces penalty,-5
297,Have an Army,2
297,Balanced forces bonus,5
298,Have an Army,2
298,Balanced forces bonus,5
299,Have an Army,2
299,Balanced forces bonus,5
300,Have an Army,2
300,Balanced forces bonus,5
300,Perfect amount of miners,10
300,Gold < 1000 and active gatherers,2
301,Have an Army,2
301,Balanced forces bonus,5
302,Have an Army,2
302,Balanced forces bonus,5
303,Have an Army,2
303,Balanced forces bonus,5
304,Have an Army,2
304,Balanced forces bonus,5
305,Have an Army,2
305,Balanced forces bonus,5
306,Have an Army,2
306,Balanced forces bonus,5
307,Have an Army,2
307,Balanced forces bonus,5
308,Have an Army,2
308,Balanced forces bonus,5
309,Have an Army,2
309,Balanced forces bonus,5
310,Have an Army,2
310,Balanced forces bonus,5
311,Have an Army,2
311,Balanced forces bonus,5
312,Have an Army,2
312,Balanced forces bonus,5
313,Lost units,-2
313,Have an Army,2
313,Balanced forces bonus,5
314,Have an Army,2
314,Balanced forces bonus,5
315,Have an Army,2
315,Balanced forces bonus,5
316,Have an Army,2
316,Balanced forces bonus,5
317,Have an Army,2
317,Balanced forces bonus,5
318,Have an Army,2
318,Balanced forces bonus,5
319,Have an Army,2
319,Balanced forces bonus,5
320,Have an Army,2
320,Balanced forces bonus,5
320,Perfect amount of miners,10
321,Lost units,-2
321,Have an Army,2
321,Balanced forces bonus,5
322,Have an Army,2
322,Balanced forces bonus,5
323,Have an Army,2
323,Balanced forces bonus,5
324,Have an Army,2
324,Balanced forces bonus,5
325,Have an Army,2
325,Balanced forces bonus,5
326,Have an Army,2
326,Balanced forces bonus,5
327,Have an Army,2
327,Balanced forces bonus,5
328,Have an Army,2
328,Balanced forces bonus,5
329,Have an Army,2
329,Balanced forces bonus,5
330,Have an Army,2
330,Balanced forces bonus,5
330,Gold < 1000 and active gatherers,2
331,Have an Army,2
331,Balanced forces bonus,5
332,Have an Army,2
332,Balanced forces bonus,5
333,Have an Army,2
333,Balanced forces bonus,5
334,Lost units,-2
334,Have an Army,2
334,Balanced forces bonus,5
335,Have an Army,2
335,Balanced forces bonus,5
336,Have an Army,2
336,Balanced forces bonus,5
337,Have an Army,2
337,Balanced forces bonus,5
338,Have an Army,2
338,Balanced forces bonus,5
339,Have an Army,2
339,Balanced forces bonus,5
340,Have an Army,2
340,Balanced forces bonus,5
340,Perfect amount of miners,10
341,Have an Army,2
341,Balanced forces bonus,5
342,Have an Army,2
342,Balanced forces bonus,5
343,Have an Army,2
343,Balanced forces bonus,5
344,Have an Army,2
344,Balanced forces bonus,5
345,Have an Army,2
345,Balanced forces bonus,5
346,Have an Army,2
346,Imbalanced forces penalty,-5
347,Have an Army,2
347,Imbalanced forces penalty,-5
348,Have an Army,2
348,Imbalanced forces penalty,-5
349,Have an Army,2
349,Imbalanced forces penalty,-5
350,Have an Army,2
350,Imbalanced forces penalty,-5
351,Have an Army,2
351,Imbalanced forces penalty,-5
352,Have an Army,2
352,Imbalanced forces penalty,-5
353,Have an Army,2
353,Imbalanced forces penalty,-5
354,Have an Army,2
354,Imbalanced forces penalty,-5
355,Have an Army,2
355,Imbalanced forces penalty,-5
356,Lost units,-2
356,Have an Army,2
356,Balanced forces bonus,5
357,Have an Army,2
357,Balanced forces bonus,5
358,Have an Army,2
358,Balanced forces bonus,5
359,Lost units,-2
359,Have an Army,2
359,Balanced forces bonus,5
360,Have an Army,2
360,Balanced forces bonus,5
360,Perfect amount of miners,10
360,Gold < 1000 and active gatherers,2
361,Have an Army,2
361,Balanced forces bonus,5
362,Have an Army,2
362,Balanced forces bonus,5
363,Have an Army,2
363,Balanced forces bonus,5
364,Have an Army,2
364,Balanced forces bonus,5
365,Have an Army,2
365,Imbalanced forces penalty,-5
366,Have an Army,2
366,Imbalanced forces penalty,-5
367,Have an Army,2
367,Imbalanced forces penalty,-5
368,Have an Army,2
368,Imbalanced forces penalty,-5
369,Have an Army,2
369,Imbalanced forces penalty,-5
370,Have an Army,2
370,Imbalanced forces penalty,-5
371,Have an Army,2
371,Imbalanced forces penalty,-5
372,Lost units,-2
372,Have an Army,2
372,Balanced forces bonus,5
373,Lost units,-2
373,Have an Army,2
373,Balanced forces bonus,5
374,Have an Army,2
374,Balanced forces bonus,5
375,Have an Army,2
375,Balanced forces bonus,5
376,Have an Army,2
376,Balanced forces bonus,5
377,Have an Army,2
377,Balanced forces bonus,5
378,Have an Army,2
378,Balanced forces bonus,5
379,Have an Army,2
379,Balanced forces bonus,5
380,Have an Army,2
380,Balanced forces bonus,5
380,Perfect amount of miners,10
381,Have an Army,2
381,Balanced forces bonus,5
382,Have an Army,2
382,Balanced forces bonus,5
383,Have an Army,2
383,Balanced forces bonus,5
384,Have an Army,2
384,Balanced forces bonus,5
385,Have an Army,2
385,Balanced forces bonus,5
386,Have an Army,2
386,Balanced forces bonus,5
387,Have an Army,2
387,Balanced forces bonus,5
388,Have an Army,2
388,Balanced forces bonus,5
389,Have an Army,2
389,Balanced forces bonus,5
390,Lost units,-2
390,Have an Army,2
390,Balanced forces bonus,5
390,Gold < 1000 and active gatherers,2
391,Have an Army,2
391,Balanced forces bonus,5
392,Have an Army,2
392,Balanced forces bonus,5
393,Lost units,-2
393,Have an Army,2
393,Imbalanced forces penalty,-5
394,Have an Army,2
394,Imbalanced forces penalty,-5
395,Have an Army,2
395,Imbalanced forces penalty,-5
396,Have an Army,2
396,Imbalanced forces penalty,-5
397,Have an Army,2
397,Balanced forces bonus,5
398,Have an Army,2
398,Balanced forces bonus,5
399,Have an Army,2
399,Balanced forces bonus,5
400,Have an Army,2
400,Balanced forces bonus,5
400,Perfect amount of miners,10
401,Have an Army,2
401,Balanced forces bonus,5
402,Have an Army,2
402,Balanced forces bonus,5
403,Have an Army,2
403,Balanced forces bonus,5
404,Have an Army,2
404,Balanced forces bonus,5
405,Have an Army,2
405,Balanced forces bonus,5
406,Have an Army,2
406,Balanced forces bonus,5
407,Have an Army,2
407,Balanced forces bonus,5
408,Have an Army,2
408,Balanced forces bonus,5
409,Have an Army,2
409,Balanced forces bonus,5
410,Have an Army,2
410,Balanced forces bonus,5
411,Have an Army,2
411,Balanced forces bonus,5
412,Have an Army,2
412,Balanced forces bonus,5
413,Have an Army,2
413,Balanced forces bonus,5
414,Have an Army,2
414,Balanced forces bonus,5
415,Have an Army,2
415,Balanced forces bonus,5
416,Have an Army,2
416,Balanced forces bonus,5
417,Have an Army,2
417,Imbalanced forces penalty,-5
418,Have an Army,2
418,Imbalanced forces penalty,-5
419,Have an Army,2
419,Imbalanced forces penalty,-5
420,Have an Army,2
420,Imbalanced forces penalty,-5
420,Perfect amount of miners,10
420,Gold < 1000 and active gatherers,2
421,Have an Army,2
421,Imbalanced forces penalty,-5
422,Have an Army,2
422,Imbalanced forces penalty,-5
423,Have an Army,2
423,Imbalanced forces penalty,-5
424,Have an Army,2
424,Imbalanced forces penalty,-5
425,Have an Army,2
425,Imbalanced forces penalty,-5
426,Have an Army,2
426,Imbalanced forces penalty,-5
427,Lost units,-2
427,Have an Army,2
427,Balanced forces bonus,5
428,Have an Army,2
428,Balanced forces bonus,5
429,Lost units,-2
429,Have an Army,2
429,Balanced forces bonus,5
430,Have an Army,2
430,Balanced forces bonus,5
431,Have an Army,2
431,Balanced forces bonus,5
432,Have an Army,2
432,Balanced forces bonus,5
433,Have an Army,2
433,Balanced forces bonus,5
434,Have an Army,2
434,Balanced forces bonus,5
435,Have an Army,2
435,Balanced forces bonus,5
436,Have an Army,2
436,Imbalanced forces penalty,-5
437,Have an Army,2
437,Imbalanced forces penalty,-5
438,Have an Army,2
438,Imbalanced forces penalty,-5
439,Have an Army,2
439,Imbalanced forces penalty,-5
1,Lost units,-8
1,Enemy unit loss,32
1,Dont have an Army,2
1,Imbalanced forces penalty,-5
2,Dont have an Army,2
2,Imbalanced forces penalty,-5
3,Dont have an Army,2
3,Imbalanced forces penalty,-5
4,Dont have an Army,2
4,Imbalanced forces penalty,-5
5,Dont have an Army,2
5,Imbalanced forces penalty,-5
6,Dont have an Army,2
6,Imbalanced forces penalty,-5
7,Dont have an Army,2
7,Imbalanced forces penalty,-5
8,Dont have an Army,2
8,Imbalanced forces penalty,-5
9,Have an Army,2
9,Imbalanced forces penalty,-5
10,Have an Army,2
10,Imbalanced forces penalty,-5
11,Have an Army,2
11,Imbalanced forces penalty,-5
12,Have an Army,2
12,Imbalanced forces penalty,-5
13,Have an Army,2
13,Imbalanced forces penalty,-5
14,Have an Army,2
14,Imbalanced forces penalty,-5
15,Have an Army,2
15,Imbalanced forces penalty,-5
16,Have an Army,2
16,Imbalanced forces penalty,-5
17,Have an Army,2
17,Imbalanced forces penalty,-5
18,Have an Army,2
18,Imbalanced forces penalty,-5
19,Have an Army,2
19,Imbalanced forces penalty,-5
20,Have an Army,2
20,Imbalanced forces penalty,-5
21,Have an Army,2
21,Imbalanced forces penalty,-5
22,Have an Army,2
22,Imbalanced forces penalty,-5
23,Have an Army,2
23,Imbalanced forces penalty,-5
24,Have an Army,2
24,Imbalanced forces penalty,-5
25,Have an Army,2
25,Balanced forces bonus,5
26,Have an Army,2
26,Balanced forces bonus,5
27,Have an Army,2
27,Balanced forces bonus,5
28,Have an Army,2
28,Balanced forces bonus,5
29,Have an Army,2
29,Balanced forces bonus,5
30,Have an Army,2
30,Balanced forces bonus,5
31,Have an Army,2
31,Balanced forces bonus,5
32,Have an Army,2
32,Balanced forces bonus,5
33,Have an Army,2
33,Balanced forces bonus,5
34,Have an Army,2
34,Balanced forces bonus,5
35,Have an Army,2
35,Balanced forces bonus,5
36,Have an Army,2
36,Balanced forces bonus,5
37,Have an Army,2
37,Balanced forces bonus,5
38,Have an Army,2
38,Balanced forces bonus,5
39,Have an Army,2
39,Balanced forces bonus,5
40,Have an Army,2
40,Balanced forces bonus,5
41,Have an Army,2
41,Balanced forces bonus,5
42,Have an Army,2
42,Balanced forces bonus,5
43,Have an Army,2
43,Balanced forces bonus,5
44,Have an Army,2
44,Balanced forces bonus,5
45,Have an Army,2
45,Balanced forces bonus,5
46,Have an Army,2
46,Balanced forces bonus,5
47,Have an Army,2
47,Balanced forces bonus,5
48,Have an Army,2
48,Imbalanced forces penalty,-5
49,Enemy tower health reduced,8.333333
49,Have an Army,2
49,Imbalanced forces penalty,-5
50,Have an Army,2
50,Imbalanced forces penalty,-5
51,Enemy tower health reduced,8.333333
51,Have an Army,2
51,Imbalanced forces penalty,-5
52,Have an Army,2
52,Imbalanced forces penalty,-5
53,Lost units,-2
53,Enemy tower health reduced,8.333333
53,Have an Army,2
53,Balanced forces bonus,5
54,Have an Army,2
54,Balanced forces bonus,5
55,Have an Army,2
55,Balanced forces bonus,5
56,Have an Army,2
56,Balanced forces bonus,5
57,Have an Army,2
57,Balanced forces bonus,5
58,Lost units,-2
58,Enemy tower health reduced,8.333333
58,Have an Army,2
58,Balanced forces bonus,5
59,Have an Army,2
59,Balanced forces bonus,5
60,Enemy tower health reduced,8.333333
60,Have an Army,2
60,Balanced forces bonus,5
61,Enemy tower health reduced,8.333333
61,Have an Army,2
61,Balanced forces bonus,5
62,Have an Army,2
62,Balanced forces bonus,5
63,Enemy tower health reduced,8.333333
63,Have an Army,2
63,Balanced forces bonus,5
